brand,model,price,avg_rating,battery,reviews,color,RAM,ROM,display_inches,user,price_bin
Vivo,Vivo v60 5g,41999.0,4.466666666666666,6500.0,161,2,12.0,256.0,6.77,1610,40k-60k
Vivo,Vivo x200 fe,56999.0,4.6,6500.0,2606,3,12.0,256.0,6.31,26060,40k-60k
Vivo,Vivo x200 pro 5g,94999.0,4.7,6000.0,1920,2,16.0,512.0,6.78,19200,60k-100k
Vivo,Vivo y100a,19499.0,4.3,4500.0,1554,2,8.0,192.0,6.38,15540,10k-20k
Vivo,Vivo y18t,9738.5,4.1,5000.0,1462,2,4.0,128.0,6.56,14620,0-10k
Vivo,Vivo y19 5g,11399.0,4.3,5500.0,4566,2,4.0,128.0,6.74,45660,10k-20k
Vivo,Vivo y19e,7999.0,4.3,5500.0,3588,2,4.0,64.0,6.74,35880,0-10k
Vivo,Vivo y22,11507.833333333334,4.3,5000.0,12936,2,4.0,128.0,6.55,129360,10k-20k
Vivo,Vivo y28s 5g,13499.0,4.35,5000.0,1625,1,5.0,128.0,6.56,16250,10k-20k
Vivo,Vivo y36,12644.5,4.3,5000.0,2886,2,8.0,128.0,6.64,28860,10k-20k
Vivo,Vivo y400 5g,23999.0,4.2,6000.0,57,1,8.0,256.0,6.74,570,20k-30k
Vivo,Vivo y400 pro 5g,26199.0,4.4,5500.0,2370,3,8.0,256.0,6.769999999999999,23700,20k-30k
Xiaomi,Xiaomi 14 civi,39199.0,4.380000000000001,4700.0,4583,4,12.0,512.0,6.55,45830,30k-40k
Xolo,Xolo era 1x -4g,5149.0,3.7,2500.0,49842,1,1.0,8.0,5.0,498420,0-10k
